details,etat,marque,prix,adresse,image_lien
SAMSUNG 75 POUCES SMART TV 4K UHD,Neuf,Samsung,655 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ad0fe655185d468ccdfa1670e54972a/-/horizon-files-prod/ed/picture/q8v5n4wp/39d4721bc1849d6420055bf33282b1c358b9d940.jpg
SAMSUNG DU7000 SMART TV 65 POUCES 4K ELECTRONIC,Neuf,Samsung,449 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/626553154508e5d53b6b46519f7bb024/-/horizon-files-prod/ed/picture/q2j0w92v/5b16b8979c226e415544d7b1f0a493f44e9e5d37.png
"smart hisense 43"" full options",Neuf,Hisense,134 900,Ouakam Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6b92698b7f0ba4d592321196351e7909/-/horizon-files-prod/ed/picture/q9mjjxp5/4c574da6829e1d65498eb4980a456b59b90dc560.jpg
"SAMSUNG QLED 85"" UHD 4K",Neuf,Samsung,1 300 000,Patte d‘oie Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/774ed85403050377ff24f5c2a3a86e05/-/horizon-files-prod/ed/picture/q56d5dg6/446d091cee048cf1f2a3368216ad53b949abd052.jpg
SAMSUNG 75 POUCES SMART TV 4K UHD,Neuf,Samsung,655 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ad0fe655185d468ccdfa1670e54972a/-/horizon-files-prod/ed/picture/q8v5n4wp/39d4721bc1849d6420055bf33282b1c358b9d940.jpg
SAMSUNG 75 POUCES SMART TV 4K UHD,Neuf,Samsung,655 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ad0fe655185d468ccdfa1670e54972a/-/horizon-files-prod/ed/picture/q8v5n4wp/39d4721bc1849d6420055bf33282b1c358b9d940.jpg
SAMSUNG 75 POUCES SMART TV 4K UHD,Neuf,Samsung,655 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ad0fe655185d468ccdfa1670e54972a/-/horizon-files-prod/ed/picture/q8v5n4wp/39d4721bc1849d6420055bf33282b1c358b9d940.jpg
SAMSUNG 75 POUCES SMART TV 4K UHD,Neuf,Samsung,655 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ad0fe655185d468ccdfa1670e54972a/-/horizon-files-prod/ed/picture/q8v5n4wp/39d4721bc1849d6420055bf33282b1c358b9d940.jpg
TÉLÉVISEUR LG SMART TV 70 POUCES AI ThinQ 4K UHD,Neuf,LG,500 000,Liberte 6 Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/76429ea2e7058fb17b5a84b2ce9f593d/-/horizon-files-prod/ed/picture/q44ndpj4/35677c969ba449d159289c735c20023a0d009281.jpg
TÉLÉVISEUR SAMSUNG SMART TV 85 POUCES ULTRA HD,Neuf,Samsung,1 000 000,Liberte 6 Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5463c66602fcde078c7781f8b3f53148/-/horizon-files-prod/ed/picture/qwepzkqd/c0e1183e61e74307f8d5a0fdc7105ed46c051ba2.jpg
TÉLÉVISEUR SAMSUNG 55 POUCES SMART ULTRA HD,Neuf,Samsung,320 000,Liberte 6 Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/159a87b14f3fa888bec8fcdf2b1d9d4a/-/horizon-files-prod/ed/picture/q0g729mk/668fb0bf298891df108faa3324f14ba70feeb851.jpg
"smart astech 65"" android uhd 4k full options",Neuf,Astech,329 900,Ouakam Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/59b3c929915c6a75130553c0a8080171/-/horizon-files-prod/ed/picture/qv4wv9mk/9c5eeb986abb09fba5ff92704fe0623b34ed351a.jpg
