etat_ordinateur,marque_ordinateur,prix_ordinateur,adresse,image_ordinateur
NeufLenovo,Lonovo L14 /512G/32G,325 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d5d0fb46e56c6d9c958f79c4ca4e2478/-/horizon-files-prod/ed/picture/q56dv90p/a8c26ba3909c0fcc9fac69da66b97de8b59dae68.jpg
NeufApple,"Imac 27"" 2019 5K core i5 1tb/8gb / 4gb dédié",500 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b024921e2a54a5d66e79cc4365a8ae7e/-/horizon-files-prod/ed/picture/q78wmnxn/6f249c00ed30517e3954ec509a591315abaa43d9.jpg
NeufDell,Dell inspiron Ryzen 7 /16Go/512ssd,500 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a2c47660bb22344cec5b97625705fb9d/-/horizon-files-prod/ed/picture/qgqwr559/84042ad655e294cb04ea00610df790130703fbd1.jpg
NeufDell,DELL Latitude 3410 Cor i5 Tactile,200 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/389d3b214d8e2f7bd934bb910f801bd5/-/horizon-files-prod/ed/picture/q56d257e/ef45634304827e082df489a1b52ac08d4d52a68b.jpg
VenantHP,Hp elitebook 830 G7,225 000,Gueule-Tapée Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9e4bcb4ceee0791d32c0655ad5eac726/-/horizon-files-prod/ed/picture/q0g76n9x/454544dca26caea080aad784f4c87c29c8f4e688.jpg
VenantLenovo,"Lenovo E531 i5 ram 8, 15 pouces",125 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bcd134d6281949d51de79706ad502bc7/-/horizon-files-prod/ed/picture/q9m8vr27/cdd4531df5f9ece3f983ece16b195bfa191b9246.jpg
NeufMicrosoft Surface,Surface Pro 9 Core i7 16Go 512,1 200 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6c905ccd4150b120ef92d37d49f467c7/-/horizon-files-prod/ed/picture/qxj2042n/6b844544444461b167524c9fb418b6b9ef65df69.jpg
VenantHP,𝗛𝗣 𝗘𝗟𝗜𝗧𝗘𝗕𝗢𝗢𝗞 𝟴𝟰𝟬 𝗚𝟭 | 𝗜𝟱,100 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1bfb9411c396d473de3264693e2ab8eb/-/horizon-files-prod/ed/picture/qm5gww69/3b5d3d698578eeaac113505ac72c270da1fa7a8d.jpg
VenantDell,DELL latitude 5420,180 000,Hlm grand-yoff Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9e53c8cc26e58a9a43e31b43c869e990/-/horizon-files-prod/ed/picture/qngpd400/7a22bd099ead8a0149fb1a757ead53f7f6718061.jpg
NeufHP,HP Zbook Firefly 14 G11,500 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aaab7075d5b5ed18f6d977f5561169df/-/horizon-files-prod/ed/picture/q0g7420x/7121afcf17067139dc37bb1e237051065987a7b9.jpg
VenantLenovo,Lenovo t480s i5 8th ram 8,165 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b71d3ebbd8f5d52990141c4ba3208e9b/-/horizon-files-prod/ed/picture/q44875x2/317e33118cabf34af8c724a942bbea30607f6b39.jpg
VenantASUS,Asus Vivobook 16p 2023 i7,220 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/debb9b9f30a47272f5d47df09e5b9996/-/horizon-files-prod/ed/picture/q0g7xnpe/62992f5cb66d81dfee9e6ce0e43eef4fd4deb035.jpg
VenantApple,MacBook Pro core i7 année 2011,125 000,Parcelles Assainies Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1d1215602021b89b5ac04361cbe3b3ad/-/horizon-files-prod/ed/picture/qgqw0dkr/f4f47c39b36544deb2972056b27f2c96ca0a054e.jpg
VenantHP,ORDINATEUR ZBOOK GAMER,400 000,Derkle Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4b15e2476a2953e044f8ecc3c6416426/-/horizon-files-prod/ed/picture/q0g770kw/ec5915f98a89a51c3b48dfc3955f620fae57936d.jpg
NeufASUS,Asus vivobook 1terra/ +128ssd /17.3,200 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d4c806cd1a8a0b545509879f1b5be9f1/-/horizon-files-prod/ed/picture/qrz8jd2n/cf6bd943af1e3cdd734a68b863d6f6c29dc97867.jpg
VenantApple,Mac Book Air 2020 Core i7 ssd 256 Gb Ram 16 Gb,375 000,Cambérène Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9d4c1fe2cea0a30d8befeb9da7d24cb9/-/horizon-files-prod/ed/picture/qm5gkgkd/c5e4a525e6366586d36e83e6e537ae26d9506e7d.jpg
NeufLenovo,Lenevo Think Pad X13 13.3 Pouces,450 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e8c8dafe12b6c628a58d328a64d53a65/-/horizon-files-prod/ed/picture/qq42nk7e/70ac97763b09b43a90cfe365e39ee87f265ad0dd.jpg
VenantLenovo,Lenovo ThinkPad L15 Core i5 16Go Ram 1To SSD,160 000,Sicap foire Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ed5d16f7d58ee93177fb710db9d14d5a/-/horizon-files-prod/ed/picture/q78w4dzx/d9441d9d5a059ab37a311763c7ac7186e2b8773d.jpg
RéconditionnéDell,DELL LATATUDE 7280 I5,125 000,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/eb32d5b13c4cbfd4786d361118179b99/-/horizon-files-prod/ed/picture/q0gwp75x/d7a7734bfd6b89debb3ebc174cee687401adf004.jpg
NeufApple,Mac Book Air M1,425 000,Cambérène Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1441d61ab56387cb618f6e15c9e18351/-/horizon-files-prod/ed/picture/qngxrppe/ad21908c862eb55d77ec783c36ea48b8e240a7b2.jpg
D'occasionAcer,"Core I5 8go 500go 22"" Wifi",70 000,Gueule-Tapée Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1807997d8ad4ebda83ff2ea08073e440/-/horizon-files-prod/ed/picture/migrated/qrn4rv2/585dc8484b3e481ad6ab4c32ae57e70565f3f9a8.jpg
NeufASUS,ASUS ZenBook Flip13,350 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ebc688905589bcc747fbfa96a58cf1c/-/horizon-files-prod/ed/picture/q78wxep5/c09076a17a22bfcdf96dfbd494c96130295202e8.jpg
VenantLenovo,Lenovo T14 ThinkPad 11th,275 000,Hann maristes Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f99e1db3be6f9d3fb703fd48ebbdad80/-/horizon-files-prod/ed/picture/q44njq02/7516205f0d33ab70a0a20358902d90bfdfcc15c5.jpg
VenantHP,✅ HP 14- i3-12th- 8go ram- 256go ssd,175 000,Hlm Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/424ecf1363a4eec8da7a8ce267570672/-/horizon-files-prod/ed/picture/qpdmq7g4/e27a690397b2252744f65e9a697b4e0ad2b317b2.jpg
VenantSamsung,Samsung galaxy book3 360,350 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/001083238d0600dfa738d69c44492868/-/horizon-files-prod/ed/picture/q56d52d7/be082fdc42e1d9f24e7c563d1eba48a013f67b7c.jpg
NeufHP,HP ELITEBOOK 830 G8 i5 11th Ram 16,650 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/868502cb8ae6a9d5b7430c91f9086906/-/horizon-files-prod/ed/picture/qrgkn5j/7531e22599072e0d31793858223806f2f4fb072a.jpg
VenantApple,MacBook Air M2 (2022),520 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/305e59ac40498e62ee323ae59e53fef5/-/horizon-files-prod/ed/picture/q2j0n90p/0386ba82211e91ee6241cf219a3baf30e10e172c.jpg
VenantAcer,Acer B118 tactile yoga Dual Core ram 4Go,70 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b7fbd32aa19b22fab8e5810de4afe243/-/horizon-files-prod/ed/picture/q6xd2jj4/b3791f15fa53c6aa76434e4ef2e3a9754f6ab504.jpg
VenantAcer,Acer nitro 5 Gtx 1650 4Go DDR6,350 000,Yoff Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8b20da5c97a91743973dcead64dd08d8/-/horizon-files-prod/ed/picture/q8v42x7x/34dd89f526ac4dd05ec5d417d425e066b5590cff.jpg
NeufHP,HP ENVY X360 14-ES0033DX Core i7 13th gen Ram 16Go,720 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/780c7ff2211bd3749b1975198a9d1f41/-/horizon-files-prod/ed/picture/qkr5dm75/955e3691dc99faabec371412b485c56f25df8b57.png
NeufHP,HP840 G3 core i5 6th,150 000,Amitié Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1f36a30be9cf001468dc99f322a427f6/-/horizon-files-prod/ed/picture/q9mjk75n/235b8029461d1316134d14947b19fcd36ef65517.jpg
VenantHP,HP 840 G5 i5 8th ram 8,210 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ba1cb97bbb85cf1711e7c937c3002efb/-/horizon-files-prod/ed/picture/q9m9zknw/6734aacf10890915518f81dfd63be75d2a688568.jpg
VenantApple,"MacBook Pro M3 Pro 16-pouce, 36GB RAM, 512GB SSD",1 350 000,Point-e Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c5bffdd99273c189db356536d6ae2d84/-/horizon-files-prod/ed/picture/q44n5mv9/82d8aeebc0db716dec88f7574998b387b900495c.jpg
NeufHP,ordinateur de bureau HP 290 G4 MT I7 10TH SANS ECRAN,440 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c60a36440f13d9f770aaf7b1f0ee3ac3/-/horizon-files-prod/ed/picture/qdgmj75/7ec580e25a526fe3581dce5c122339f5bfd87775.png
NeufHP,Ordinateur HP 15-DY2703DX i5,370 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a241b2e0f9579d5d9185d7cc1c57ebba/-/horizon-files-prod/ed/picture/qpdm7nnq/e2994226d5c89462d67d8de5abd2cf58a478bb8d.jpg
VenantHP,Hp Laptop 15,110 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/60c823548931da82a33e5f8340588933/-/horizon-files-prod/ed/picture/qj4q75p5/297ecfdaad29c74d7ac44544b2799f6f26456049.jpg
NeufDell,DELL PRÉCISION 7540 2021,1,Cité keur gorgui Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3d738f0cc1812c3302c8e26329eb585d/-/horizon-files-prod/ed/picture/qm5g9q2j/59f737348f5f52d5e8efa4e9308e178d7cdacb34.jpg
NeufHP,All In One Hp 200 G4 I5 10TH,550 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/94f1f0f8716134530dd3cc4af286d3d3/-/horizon-files-prod/ed/picture/qm7pqwm/8eae492b58daa0cc8f95cb76877e6d699bba0a5c.png
VenantHP,HP - Dell core i7 disc 1t ram 16g,95 000,Yoff Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f9ab925f6bee0729f182743a28049594/-/horizon-files-prod/ed/picture/q78w6dxe/222bf1e0886983ea2766056bb5b3ed8bf1cce3ac.jpg
NeufHP,HP élitebook 645 g9,270 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7477673d235a9e05a511ee1b038a051a/-/horizon-files-prod/ed/picture/q78wmrgm/ba4aaf345414735adcabe9c8b576da70e0424311.jpg
VenantHP,Hp elitebook 650 g9 12th i5,300 000,Liberte 6 Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b951c26658c9a40df713ccb1d17a824d/-/horizon-files-prod/ed/picture/qv4wjxkg/f86dc107285c1a3c933e7688566ce39dc9d490d0.jpg
NeufAlogic,"Clarity Pro Touch 27"" UHD 4K",425 000,Sicap Sacré-cœur Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/22f9a4fe8cce3e8e80ca54151fbb7ab8/-/horizon-files-prod/ed/picture/qq42v7ge/7c2b45c70802a0625bab8c70af1e00b386ddbd77.png
NeufApple,MacBook Air M3 13.6 pouy,600 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/84c0e89fb02571fdc61b83ac21b147e7/-/horizon-files-prod/ed/picture/q56dqkn0/d22445e4046a301fce8f20ffd69c6b0e52d6af86.png
NeufMicrosoft Surface,Surface Studio 2+,3 499 000,Fenêtre mermoz Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c9f49804e24ea3254509c9ffbaa87ff1/-/horizon-files-prod/ed/picture/qenq4nx4/d7223d4341d415432efac80177c8a842e98a6f4a.jpg
Neuf,"Msi 27"" QHD 180Hz",245 000,Sicap Sacré-cœur Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0d3c3ebd04a7d8a0cff36d01b749e7ff/-/horizon-files-prod/ed/picture/q44ng728/70eb5a70a7d3bb3c958eaceebb74913cbb14348d.jpg
NeufSamsung,SAMSUNG BOOK 2,130 000,Cité keur gorgui Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/44f0a04655058ae37f1f495f7a72681b/-/horizon-files-prod/ed/picture/q2j067re/00de54ed3560a75ed6afe2eb3b1d29eebf1b2fa3.jpg
VenantApple,Mac Book Pro M1,450 000,Cambérène Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/229d3bcfa099475232e31bcbb4c00a41/-/horizon-files-prod/ed/picture/q44nq9nv/0eea8cc288bf60a4fab1a516953592075b52eb36.png
VenantMicrosoft Surface,Microsoft Surface Pro 8,365 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/109a3c703ed8cedaf58c0d60e7527bab/-/horizon-files-prod/ed/picture/qm5g94g9/2e124e52190781274218fc2fce80629909f2e6ed.jpg
NeufApple,IMAC 24 POUCES M1 NEUF,750 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/94ee88ad58cf419a53d0e172423295a7/-/horizon-files-prod/ed/picture/q6xd6np8/2774c2084cfe93a02f0e717dd23aa67f2a2eedd3.jpg
VenantHP,HP Probook 650 G4 i5 16GB 500GB,160 000,Sicap foire Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c119840850960635bcb15d79ffb17a51/-/horizon-files-prod/ed/picture/q0g79pzd/c938a79caa3173ecfbd9ce8501e1187882a149f0.jpg
VenantApple,MacBook pro 2019 i7,490 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/530b2f23247e9df5bb6c8367118acce4/-/horizon-files-prod/ed/picture/qrz8wwx5/342c9290d215d6fd0c17adf4291c8cfed0f39d4d.jpg
VenantApple,"promo Mac book air rose gold M1 
ssd 256go 
Ram 8go",315 000,Hlm Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d29c922a5d36c21a3f45f6975dbb4b8a/-/horizon-files-prod/ed/picture/q78wrjrx/58613751702a654d928dde7aaff3e55c7f12b677.jpg
NeufDell,Dell  vostro 3500 i7 11th 4.7GHZ,540 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c0fa1928838da9a91843b85b5b3c6480/-/horizon-files-prod/ed/picture/q0gpq5g6/d4d3341921d2fe6190ce694bdfb0ebd1d74c6b4f.jpg
D'occasionLenovo,Gamer Lenovo w540 i7 ram 8,185 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bc1a39006efc00c76fde41e1ae42deb6/-/horizon-files-prod/ed/picture/q787002j/40a8b11f553d5c7e0b97b412b4da857eb5b8f84c.jpg
RéconditionnéDell,GAMER NVIDIA GTX,350 000,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b59acf21e317769af39b5f9ca20d262b/-eyJvciI6MjcwfQ%3D%3D/horizon-files-prod/ed/picture/qpdpdd4p/4623a0a1606121b10f1726b6d2cacc225b7bb32c.jpg
NeufApple,apple mac mini M1,300 000,Hlm grand-yoff Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/247d3c5f5f9c3e55420addfd619bf806/-/horizon-files-prod/ed/picture/q78w7kx5/6aea1650354872ab09263bbc6aef6f98068f0630.jpg
NeufApple,MacBook Air Puce M1 2020 13.3 Pouces,475 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bae85b8cddd1a17d38006166cabb022d/-/horizon-files-prod/ed/picture/qxjpvz50/c1e0067ebf2951d35c5a2871b5a11ba1df7851c2.jpg
NeufApple,Mac Book Air 2020,300 000,Cambérène Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/afeeff31746a93b2e804ca8dec83409e/-/horizon-files-prod/ed/picture/q0g76k5d/120da94f7e965d04946b0fc5ac32852f99a282a7.jpg
NeufHP,"ALL IN ONE HP NEUF 27""",850 000,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8bcabed3dcce716069c186d5aeec5a9a/-/horizon-files-prod/ed/picture/qxj24p2j/75109bad3787de526bf39ab1d22e86fade95a49b.jpg
NeufHP,Hp elitebook x360 tactile et rotatif,90 000,Grand-Dakar Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/57fc1bd86f7ae71c62f256d8a358c74e/-/horizon-files-prod/ed/picture/q9mj9zj0/bcd73fcbf012e2f6d964d646bbde3c2253a45dfd.jpg
VenantApple,MacBook Pro M1 Pro,650 000,Point-e Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/81ad270ead0397d596d931df118129db/-/horizon-files-prod/ed/picture/qrz8kxrg/4319171c9c12e864fa5758c9f229a29ed4447049.jpg
VenantApple,MacBook pro retina 2015,190 000,Derkle Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a32160fa1bd6a32192525e5c03b4b0e1/-/horizon-files-prod/ed/picture/q78w9egq/f7264d0fc8b5a375dceaf1d021d18c9d7021006b.jpg
VenantApple,MacBook Pro 2020 i5 Touchbar 13.3 inch,450 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/79f423fc21578882337db4e7f718b0cf/-/horizon-files-prod/ed/picture/qxjpd7rm/dd2ab072cb04a8781166aa70609baab6cf4d2cb0.jpg
NeufHP,Hp probook 11E G3 EE,100 000,Hlm Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9c32dd6f3fcd1943a87348b077bc8d33/-/horizon-files-prod/ed/picture/qrz8m66n/fac26d3b1dfe9684cd81d98935f74de08c3fa2c1.jpg
VenantLenovo,Lenovo X. Yoga-✅ i5.10th gen- 16go/500go ssd-13 pouces,200 000,Hlm Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b4f925a264202e366780e7a5b89d88a5/-/horizon-files-prod/ed/picture/q8v477v6/59320af8500c8869bc11f3e24130cf16a4e74f36.jpg
NeufApple,Mac Book Pro Puce M1 Touch Bar,475 000,Cambérène Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/73dae3569e83940548c7b4ba56cc1447/-/horizon-files-prod/ed/picture/q8v4nk46/ca24f7f85f74f27c8a00bd04fe3fd21697fc956a.jpg
NeufHP,"All In One Hp  200 G4  Ecran 22""",550 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b4008e226df48d5324f187b85bd3d1f2/-/horizon-files-prod/ed/picture/q0q8zr6/04c06429f319610bb32ff8e16bc7977c067dbc68.jpg
VenantDell,Dell Latitude 5320,200 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0b35668b083c736417a9375b28d34c01/-/horizon-files-prod/ed/picture/qkr8n9w8/3770025f35f03df01c59ebabcfe18bce270dbbee.png
VenantApple,Mac air M3 2024,850 000,Hlm Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9e0db976458765598be3d3ce1b63594a/-/horizon-files-prod/ed/picture/qm5gedg9/efa84fcb0881fc2d27e3826903d0398140a93f95.jpg
NeufLenovo,Lenovo ThinkPad T14 Core i5 (Gen 5 - Intel),650 000,Sicap Sacré-cœur Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a5cb59b3d7aec4d4b16f9fe8892deb46/-/horizon-files-prod/ed/picture/qgqwjevk/f452f3ceb1c5736313759ae2ce8c6c0abd0ee4f7.png
VenantHP,Pc gamer Hp Oment Gtx 1070,500 000,Yoff Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ac9d8d543699f5ce39bacc43327d7752/-/horizon-files-prod/ed/picture/q2j0dd8p/b2bd75753761e8d97e57d5a21285b040854fdc0b.jpg
NeufHP,HP 6300 CORE2+19,200 000,Gueule-Tapée Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb4d936cc1255a76e0b2de91f23c4cc6/-/horizon-files-prod/ed/picture/migrated/qxg2rd0/fc096d4b27c81a016e79807e5cef0bfef5079282.jpg
NeufLenovo,LENOVO,150 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c453d24663ae4ae49dd4a14506ca102e/-/horizon-files-prod/ed/picture/qzvpdv4k/8393f19caec4b995e4114fc5f5f1260ec2d35a65.jpg
VenantApple,16-pouce M1-PRO 16/512,800 000,Yoff Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/30cdb579a525ec010b3b15931730c0fa/-/horizon-files-prod/ed/picture/q44nv8qe/03d485772c093f5c6630fcccc6f0b9d96b3fccc4.jpg
D'occasionHP,HP ELITEBOOK X360 1040 G6 CORE I7,349 900,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ae460f8cb8eac281aba051715ea6c35d/-/horizon-files-prod/ed/picture/q8v5j549/0811e96e0b68e6cdf1bd2f165a342b01b5f94f6d.jpg
NeufHP,Hp 840 g3 i5 neuf,150 000,Amitié Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/71c773a7ea585fe630ff10e2c3bb2e04/-/horizon-files-prod/ed/picture/qngp8x40/f83124bdc35448f6c1448df755a233ef77bf786d.jpg
VenantApple,Mac book Air M2 2022,485 000,Hlm Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fc303d977fe2b0c1828b5f0fe55d1a15/-/horizon-files-prod/ed/picture/q44ngkqp/0dc1b3bb1dab1665f28771e83999b96d458e837e.jpg
NeufHP,Ordinateur Hp Core i5 Promotion,129 900,Gibraltar Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c5c2dbbf13fbb55b680cb2a4d7adad37/-/horizon-files-prod/ed/picture/qngpq5qe/4391e39e033000697db748d5b183f17666bb0642.jpg
RéconditionnéLenovo,GAMER LENOVO P53 CORE I7,325 000,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9a9eee31a82c600ff2fb6265f219ce7d/-/horizon-files-prod/ed/picture/q448jk6p/bdddd4ec50487d48660211f95b367f9398c06bca.jpg
NeufASUS,Asus Rog Strix G15 Ryzen 9 /16Go/512ssd/RTX 3060,700 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a50e199ba4e00df10312fcc467622673/-/horizon-files-prod/ed/picture/qzvppj5d/76da120d47406f14c4e9f02c79403cf7fcde87f2.jpg
VenantLenovo,✅ Lenovo i7 Yoga - Nvidia 2GO Dedié + Stylet,175 000,Hlm Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/44da2dfdd7133afa4bc889bc5c655a56/-/horizon-files-prod/ed/picture/qxjp792z/1940967d586e94a0e17963281f81da3ffc25e1d0.jpg
NeufLenovo,Lenovo ThinkPad T16 Gen 1 Intel core i7,600 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d51ee3b1842bb070bcea67f0365c2c04/-/horizon-files-prod/ed/picture/q0g74978/ea7535de1de7aa55586d68bc23495302c93bb483.jpg
NeufLenovo,LENOVO DUAL CORE /512 SSD/4 GO,180 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/914957bfb0b1ff10c536bd6450f53d8a/-/horizon-files-prod/ed/picture/qj4rq0wr/31497f69deb763e991c047dce4d27c240f633f8f.jpg
VenantHP,Hp elitebook 840 g3,130 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3aa3b60907fb1f626840351f588455e0/-/horizon-files-prod/ed/picture/qwepxq85/44436079165eecf59796fa983d40607518798a50.jpg
RéconditionnéDell,"DELL.3340.3350.I5.13 .3"" TACTILE",90 000,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/19897b5c7f5c3a7ffaf37f84159faa52/-/horizon-files-prod/ed/picture/q2jqdrpq/4b02ad6308b8c6d7dbb40e0556018476ae02fe85.jpg
NeufDell,"A l i e n w a r e - x14""",750 000,Sicap Sacré-cœur Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c5fba489d3a9f3a06ba2677f5d09c792/-/horizon-files-prod/ed/picture/q8v4295x/49582f846ebf46c9ea13eacf529280822a065d8f.jpg
NeufApple,Magic Keyboard De 13 Pouces IPad Pro M4,200 000,Cambérène Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/483fb7211c9769407162af27b6f2039f/-/horizon-files-prod/ed/picture/q56d8kx7/d824e43dded4d2df80cf30ec7ad099fb6743aec4.jpg
VenantHP,Ordinateur,230 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/58ba15e4bde2b0259f21f6fe002e4864/-/horizon-files-prod/ed/picture/qwep80v6/0bd0820484bdf171bfec9bc82b0b33d6eb568445.jpg
VenantMicrosoft Surface,Surface Book 3 15 Pouces - I7 10th | 16GB RAM | 256,350 000,Point-e Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f0064f4be1a6ccee0e7d4766e44a838e/-/horizon-files-prod/ed/picture/q8v4g9dp/74922186b10133063df8dc2b19c280a0bfc6352e.jpg
NeufHP,HP EliteBook 840 G6 i5 16Go 512Go,230 000,Dieuppeul Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e586c3882dc1d12e0fd5b6614aaa7029/-/horizon-files-prod/ed/picture/qwepgzkg/75ada6d360230f3b30ddf5a66ee181f0edf5f81f.jpg
NeufApple,Mac Book Air M2 Ssd 512 Gb Ram 16 Gb,575 000,Cambérène Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a65939e2d519bb1c2321e8b102543ca3/-/horizon-files-prod/ed/picture/q44nwkkv/3db34e4c0d804d06334a38713bfd8d005d5d80f8.png
NeufHP,Hp Omen i9 64Go 2TO RTX4060,1 250 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb3349beac457468a4b156531562a9a7/-/horizon-files-prod/ed/picture/qm5gjq8m/cf0e58c23dc9b9d4a0ba5737740e7dca2cbbc9c3.png
NeufHP,Promo☄️Hp Elitbook 840 Corei5 256ssd Ram8,150 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d075adfa754eb724edf5f045868075da/-/horizon-files-prod/ed/picture/qrz8xzrm/69d157ef6d155e820359ccc74dff99f65b662028.jpg
VenantApple,MacBook Air 2022 M2,560 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/03bcdade5f96260e09cde1930ac81661/-/horizon-files-prod/ed/picture/q0g7xq5z/356b60705f2d3e982e8c3e389c52920304dea6d5.jpg
