etat_ordinateur,marque_ordinateur,prix_ordinateur,adresse,image_ordinateur
NeufHP,Chargeur HP 15 19.5v 3.33a,8 000,Fann Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4db3f55b9783a3b4d9ca738f281ced3c/-/horizon-files-prod/ed/picture/qj4q9ndv/308e0e04a0f5aadd8dc89cf4c7aebaffaaa3dcfc.png
VenantApple,MacBook Pro Touchbar i5 2019 13.3 pouces,400 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/15f9a1a206722cc2717288ba17702041/-/horizon-files-prod/ed/picture/qxjpx902/34ccbee9e394512b553c2c28d029293621347ea4.jpg
VenantHP,ORDINATEUR DE BUREAU HP ELITEDESK 800 G1| i3,65 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fd650cfb3b72a6d3f171f6e1089be5b7/-/horizon-files-prod/ed/picture/qq477v6w/ee92c75976b832dec18aa284b21ffdf6ea31a173.jpg
NeufLenovo,ALL IN ONE LENOVO V 30 A 22ITL CORE I3,375 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a171a306f511762ab5ea9d66585d9218/-/horizon-files-prod/ed/picture/qm5g9xed/897f918200569e1a614871a680fe7a3b6b60277c.jpg
VenantDell,DELL Latitude 5490 Cor i5 8ème Gén,155 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a50c8cddbdefc973b96fcd9eac48a326/-/horizon-files-prod/ed/picture/qde7zqjm/ba5e0b4ad0ddfa6761fb08db16ec5b58c58b542a.jpg
VenantDell,Unité central Dell mini core i5,55 000,Mbour Thiès,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fc85fef2490dc5f90fb37a8189198386/-/horizon-files-prod/ed/picture/qq42r5dv/8425f7573b3bca731bb522f4e2af844d2db1291d.jpg
RéconditionnéHP,HP ELITEBOOK 840G3 I5,120 000,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e73b1d51de7a2a16b51f79c3bfcb966a/-/horizon-files-prod/ed/picture/q787nmmj/31fb0e8e0885f549ded64fd0f444659f7d2fa29b.jpg
NeufHP,HP 14-DQ2038MS Core i3 11th gen,295 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/27e800ac8398567ed767e08126121f68/-/horizon-files-prod/ed/picture/q6xxex4p/02aa5166fd91c41e8d3c5281123d13be56a008ab.png
VenantDell,Dell Latitude précision 3580,650 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ffd5b50d2f22ec3fea493fe9fddac6fb/-/horizon-files-prod/ed/picture/q8v4wpmn/ec741fa241461fb8141649ba3123123550434fbe.jpg
VenantApple,16-pouce M1-pro 16/512,800 000,Yoff Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/62414e571ef6145ea02ebc1b36f07e17/-/horizon-files-prod/ed/picture/qwep6x5z/3920960085d45eb55a06dbb037e8cf0623578c62.jpg
