details,etat,marque,prix,adresse,image_lien
Samsung S22 Ultra 128Go,Neuf,Samsung,250 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7c3d3bc6d9868894f21bfa8dd139ebd8/-/horizon-files-prod/ed/picture/qenv8gmk/29b937338e326f058a5bc3615f8393f75795c93a.jpg
Lot de Coque Apple iPhone,Neuf,iPhone,"10 000

12 000

Économisez16.7%",Parcelles Assainies Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/60fa701906a44a9246a787ede0aa9366/-/horizon-files-prod/ed/picture/q44n9e25/877e36e4e03825cb4a36cac8b249983b172540bb.png
Coque OtterBox pour Apple iPhone 15/iPhone 14/iPhone 13,Neuf,iPhone,"12 000

15 000

Économisez20%",Parcelles Assainies Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/50c7fb6157c7b19bcae3d3d86f274b22/-/horizon-files-prod/ed/picture/qzvpkg59/f5004fe5f94699d742e7a44829b670aa7970dbbc.png
Samsung galaxy A55 128GB,Neuf,Samsung,210 000,Liberte 6 extension Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/74fc15324760f41de6da413b9e600242/-/horizon-files-prod/ed/picture/qzvpkg68/3b796e87c838138090a13cd111b3ba1ccdb60f67.jpg
Tecno pop 9,Neuf,Tecno,55 000,Castor Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/28bbaa3b7d2f73c8a4ec233400eb6f4d/-/horizon-files-prod/ed/picture/qq426zv4/19ecbd5e03d6fb56b15dab9ce44f07f41817c8d0.jpg
Iphone 16 Pro Max,Neuf,iPhone,1 150 000,Point-e Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3f910a53b010f4a8cd1de2c28050383e/-/horizon-files-prod/ed/picture/qpdmnwk4/75fd8f81b285375d31083fd6525e89809cdafb68.jpg
IPHONE 16 PRO MAX 256GO SIM PHYSIQUE,Neuf,iPhone,850 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7606e307bc14ed57c8bd210192c06fc3/-/horizon-files-prod/ed/picture/q2j0g97p/266445cb4db708d1528e226514b88c343cb11cb2.jpg
ZTE ZT01,Neuf,ZTE,125 000,Hlm Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e2d6e0cc55baae720a38ce46075f60df/-/horizon-files-prod/ed/picture/qde7m7w4/5f661ead8dba963f07e5030fbf1145f00bb505ba.jpg
SONY XPERIA 5,Neuf,Sony,85 000,Hlm Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5e981a8159a66f051736373a42f612f4/-/horizon-files-prod/ed/picture/qq42xzew/a76c7695a4d97ed5074ec80629b5959d07743975.jpg
AQUOS A5g,Neuf,Archos,90 000,Hlm Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e8d9fbf4076b44da56e696fc0175e684/-/horizon-files-prod/ed/picture/q6xd8q97/8f861715995f06882bfe070ecda8bc2171150c4b.jpg
GALAXY S10,Neuf,Samsung,120 000,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1796632a6ecce29797e794224df922e9/-/horizon-files-prod/ed/picture/qwep0264/95f7f4b3218f65cd1a81fb2de4f2653e16c5807d.jpg
Xiaomi redmi 14c neuf 128go ram 4go,Neuf,Xiaomi,65 000,Patte d‘oie Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/79c40987c1c60427b4246ce483265afd/-/horizon-files-prod/ed/picture/qpdm5mmq/c4098da49e0011df8798ac5b16b30d7106c1b712.jpg
Xiaomi redmi note 13pro plus 5g 256go ram 12go,Neuf,Xiaomi,185 000,Patte d‘oie Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d38c8f8a72e5774c33bee238654bf48f/-/horizon-files-prod/ed/picture/q8v4nr8n/41540aa5f11e40d8a0613a47bb8ee7ae422aa4d4.jpg
Huawei p30 pro 256Go ram8,Neuf,Huawei,140 000,Fass Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/60855ecc4e320a7d1cd760b80e519206/-/horizon-files-prod/ed/picture/qpdmrzgm/f373ff9d7562dcf4056200e9f3f037b1ac27ea75.jpg
Huawei p30 pro 128go ram8 Scellé,Neuf,Huawei,129 900,Fass Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d76aa9b79a81aa78a8da03f27f876c25/-/horizon-files-prod/ed/picture/qkr8n475/24208a7663412d0c04fe7c4c2bfd18346752e56f.jpg
Huawei p30 pro 128go ram8,Neuf,Samsung,129 900,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb0a04c7745f83b9b40c296d7e1c5fcb/-/horizon-files-prod/ed/picture/qm5g7zdr/179eb2007c4f37bb2dc1c5800dc5869493cd64a2.jpg
16Simple 128GB,Neuf,iPhone,570 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c5f2f50787d7cd3bcd8633b1c6f81a3b/-/horizon-files-prod/ed/picture/qngpvmnk/a2ec9f9a65f915820940a6822a59dc9a4904e75d.jpg
iPhone 16 pro max 256go E-sim,Neuf,iPhone,680 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3c187d124f5b865c28733988d6b4819d/-/horizon-files-prod/ed/picture/qenv8485/870b72518d49866c6f0e2773043429dbdf15e392.jpg
Samsung Z fold 4,Neuf,Samsung,415 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6ec31b30ebd8994f71f28620ba179f32/-/horizon-files-prod/ed/picture/q44n9kw4/c8839ccfcd8972854892e6f5e59b9a6f141ea306.jpg
iPhone 16 plus,Neuf,iPhone,700 000,Yoff Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5a8af41b692bcd9ace265c3d56e01719/-/horizon-files-prod/ed/picture/qzvpk95n/82e42263c8eda75aee56974dc818a4833df42957.jpg
Fold 3 scellé,Neuf,Samsung,330 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/334453bfa0a582f1884626303c49c0b2/-/horizon-files-prod/ed/picture/qngpve0k/c2dfddaa8ab5e86e0d3b2f12262d0389fd077c69.jpg
iPhone 15 simple en 2 tranches,Neuf,iPhone,600 000,Ouest foire Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/36df9b595b8d3983d0bc5ea9409feadf/-/horizon-files-prod/ed/picture/qngpjn9k/0fa61796254db00197f87877cfb602aa6ee588bf.jpg
iPhone 16 pro max 256 go eSIM noir,Neuf,iPhone,825 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bc9e3c9015d5a310fe87a47fb2f0769b/-/horizon-files-prod/ed/picture/q78wqmv8/72dbb1227829afb2cc7f6d4abb33b7ea3a9b00c5.jpg
iPhone 16 pro max 1 tera,Neuf,iPhone,1 200 000,Yoff Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0829297e070f5215949868fd940175ce/-/horizon-files-prod/ed/picture/qzvpk0g8/a0c69eee3e5038589ea205ae7a392d83a57d95b3.jpg
XR 256 2 SIM paiement en deux tranches,Neuf,iPhone,145 000,Ouest foire Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/66eec30f0d056bece6988f4a8b9c1969/-/horizon-files-prod/ed/picture/qkr8kzww/9ee1cdeab425f92937c09d58592ceda003415a06.jpg
xr 128 payable en deux tranches,Neuf,iPhone,120 000,Ouest foire Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/356022934f0ec47434badd31c4c34739/-/horizon-files-prod/ed/picture/qq42nrmk/8ca973c5c30ec3e51914b42919b89ddb9326aa5e.jpg
XR 128 2 SIM payable en deux tranches,Neuf,iPhone,130 000,Ouest foire Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8821dcb1316bb898d7bdb368846086a4/-/horizon-files-prod/ed/picture/qngpvq4z/675510f1eec7325a28220322b596cf69f41bf2d1.jpg
16 SIMPLE 128GA payable en deux tranches,Neuf,iPhone,580 000,Ouest foire Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6a18beca29b517a20e437e1d631fa9c4/-/horizon-files-prod/ed/picture/qv4wrj2k/56bd9746e968c64ba8accae08e0fb5f4c8c0f3a9.jpg
13 pro max 128GA payable en deux tranches,Neuf,iPhone,375 000,Ouest foire Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e20ded44226a87cf01c81d6a1e4718a5/-/horizon-files-prod/ed/picture/qenv8k6v/cf357447cbd35ad68f45c40d3079e93ca00aaced.jpg
12 MINI 64 payable en deux tranches,Neuf,iPhone,155 000,Ouest foire Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/98f55f3fa5231044025b7d0eef25fb9d/-/horizon-files-prod/ed/picture/qde7qg5w/0d1207568da23155bd3154b46501b75fbf87c69b.jpg
Gloogle pixel 9 simple 256Gb,Neuf,Google,530 000,Liberte 6 extension Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ce94fdcea1a0860173f2bc73cca56769/-/horizon-files-prod/ed/picture/q56dqzm6/45b76c2a204a90a4b7435a9773f35978b1f2adac.jpg
Gloogle pixel 9 pro XL 256GB,Neuf,Google,730 000,Liberte 6 extension Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/401e1babdcdc11201879e742821a1a5b/-/horizon-files-prod/ed/picture/qpdmrjzx/a2ab59cd3d50926555eb316e079c6d954096a5c7.jpg
Oppo A80 5G 256Gb,Neuf,Oppo,140 000,Liberte 6 extension Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ccb56dec0b7435728f4822b2c7e471da/-/horizon-files-prod/ed/picture/q44n2wg4/236f769898fa2d68bd6c423d358a762ec7de5414.jpg
Hauwei mate X6,Neuf,Huawei,1 200 000,Yoff Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7bbf15deb15f039582bd5ccf40f26e5a/-/horizon-files-prod/ed/picture/qenv8k4v/92053125683c0eb18d8c62c814d0ab6e4760405e.jpg
Hauwei mate TX,Neuf,Huawei,3 300 000,Yoff Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5b34836908d3eb152b43b7daba8a4a1/-/horizon-files-prod/ed/picture/q0g764jd/1e1e99c11a7e81e8fb30c8195326820718dc0643.jpg
Xiaomi Redmi 14c neuf 256go ram 8go,Neuf,Xiaomi,85 000,Parcelles Assainies Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3be5d3ff47f8f403d9b14ce4555082f6/-/horizon-files-prod/ed/picture/qde7j6d2/f07bfb1691ae3a30689d205c3773719cccd4cdb3.jpg
Samsung Galaxy A55 5G Noir 256Go,Neuf,Samsung,220 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/de9903af5aaee2dd5a78938fcd10fe80/-/horizon-files-prod/ed/picture/qj4qg0dz/c50420ec84c473017e4de8e68685f38a405af1bf.jpg
Iphone 16 pro max 1TB SIM,Neuf,iPhone,1 249 000,Fenêtre mermoz Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b9f2eea0479f2e7f2d8665877ff2901f/-/horizon-files-prod/ed/picture/qq4252qj/3ce8d3b30966b46a48c4ac490cef81bccef96837.jpg
Samsung Galaxy Z Flip 6 512GB,Neuf,Samsung,625 000,Fenêtre mermoz Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/13e94355adc85723eeefd660f0d9aa69/-/horizon-files-prod/ed/picture/qv4wgmqj/7e1e132e08dbc88e5dc19a12dae174907f972c32.png
Samsung fold 5,Neuf,Samsung,570 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e48f8ff850ad0cbbe55a1f2e05bc936f/-/horizon-files-prod/ed/picture/q56dnn90/0e23cdad0fe67ae72ec32e2014217f4ff3a2c422.png
Huawei p30 pro 128go ram 8 scellé,Neuf,Huawei,129 900,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/65772daf197af513945ba874ef098641/-/horizon-files-prod/ed/picture/qv4wrrdm/b83f818fad45b12a64bb86363f84a0fc7ab4963e.jpg
iPhone 16 Plus 256Go Scellé Sim physique,Neuf,iPhone,725 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/43908bfa008fd9acd10612e53165e05e/-/horizon-files-prod/ed/picture/qq42nn7z/d4b2423f8fb43e93c3e9adfc3fb941b887cb5971.jpg
Iphone 16Pro max 256Go scellé sim physique,Neuf,iPhone,850 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2f96dc889fd0b68927c5b4bb9ab8aaae/-/horizon-files-prod/ed/picture/qkr8kk5m/3f2986297c4cd575564f87afb666a5e479915f9a.jpg
Iphone 16Simple 128Go Scellé Sim physique,Neuf,iPhone,550 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1800a78c17ddad9d7d42c297f25168c2/-/horizon-files-prod/ed/picture/qq42nn4n/89a8c9a890b7e772c2462c8e8d4fd69c25ea27ac.jpg
Iphone 15Pro max 256Go Sim physique,Neuf,iPhone,600 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/037cbfd203bb154ee16c25f1154b96e0/-/horizon-files-prod/ed/picture/qv4wrr4x/3dd1e1d447e26fc4257c725660271e48d13f4be6.jpg
Iphone 14Pro max 512Go Esim,Neuf,iPhone,485 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/abf1f977825a2e0196951dc0af0c7c37/-/horizon-files-prod/ed/picture/qzvpkkvr/bf5a182580cecc90b9d68873804fc5093183cd61.jpg
Iphone 15Pro max 256Go Esim,Neuf,iPhone,535 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/31ec81b4cd4511095e1b595450230e78/-/horizon-files-prod/ed/picture/q56dnn6p/839d0311c4aa83ac877cb2f40d8b0d59d565d045.jpg
Samsung S23 Ultra 512Go Ram 12,Neuf,Samsung,410 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/30ba9cdd1850e7f22611c08ae5833daa/-/horizon-files-prod/ed/picture/q8v48807/95e1df8f72b477e533d94827104d8c859d19f163.jpg
Samsung S24 ultra 256Go Dual Sim,Neuf,Samsung,500 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/08479d79e10928752303583a56bd20d2/-/horizon-files-prod/ed/picture/q0g766pz/e5cae9c6b903f0a86b9a7616e980d7c2fbb85942.jpg
Support de charge rapide sans fil,Neuf,Samsung,"15 000

20 000

Économisez25%",Parcelles Assainies Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dc61bb758e24bb3506e62fe1119cdf67/-/horizon-files-prod/ed/picture/qde7qzm2/fb74f79a75047df2b8bae4bc56911f56a622a62a.png
Coque OtterBox Defender iPhone 16 Pro Max,Neuf,iPhone,45 000,Parcelles Assainies Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c305fb3f92625a1892ebac12ae8f50af/-/horizon-files-prod/ed/picture/q9mjz22v/1269bd0a6052c651da68f1070b097bafd208c59c.png
16pro 128G,Neuf,iPhone,650 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/378bc3fa4c7ed94a5373b6f95e2be08d/-/horizon-files-prod/ed/picture/qq42nk5w/0efb8a5049a885bf97165c61781f5d28b26da17f.jpg
Samsung Fold 5 512GB scellé,Neuf,Samsung,625 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fd11dbca37be4f129fd5a45fe3b02777/-/horizon-files-prod/ed/picture/q2j0v2kk/5c8143ffc3e138f2652d17bc0957d1fd1ebfee8c.jpg
Samsung s21 ultra 128GB,Neuf,Samsung,265 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8acf0142f1ae4d6146692d985a35bb37/-/horizon-files-prod/ed/picture/qm5g7k0m/175001a8349f6c4278802fa20cc7ea21587fff38.jpg
Samsung note 20 ultra 256GB,Neuf,Samsung,310 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/977cd35b52661e74cfd3f5feb87ef54c/-/horizon-files-prod/ed/picture/qwepx9p6/8744968649db26d7759946e14a6bd7ffdeba02f1.jpg
IPhone 12 Pro Max 128GB scellé,Neuf,iPhone,325 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/360b5b80d9c2bb88f4363b748ee4f1c7/-/horizon-files-prod/ed/picture/q6xdw2dz/bfc66fc6596fa7a629eb58eaa1dfc74cac14423b.jpg
iPhone 12 Simple,Neuf,iPhone,180 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e07402552199dd640f32a8f9d05c23bb/-/horizon-files-prod/ed/picture/qenv82j9/5432bd0c2b58dccf14a834032bfa8122e0e2593d.jpg
INFINIX HOT 50i,Neuf,Infinix,68 000,Guediawaye Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/266aa32f228df7c455d24be24b5f016e/-/horizon-files-prod/ed/picture/qj4qd2x8/02b34ac66cfd8bc4d569c218692becec49c67c19.jpg
iPhone 13 Pro Max 128go,Neuf,iPhone,330 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4a4ea2918c917d323cc4d63eef5f536e/-/horizon-files-prod/ed/picture/q56dnv7r/438eb44cb49d98190da93d843950ba1f44f9ec77.jpg
Iphone 14 pro max 128go E-sim,Neuf,iPhone,435 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/81876e907ab35b6ce7424891564c17b5/-/horizon-files-prod/ed/picture/qgqwrz2q/ce3af4e0153524ead13127729b75cde19db67c17.jpg
Iphone 14 pro 256go dual sim,Neuf,iPhone,450 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1d48dcd43b88966875b2384d29203b99/-/horizon-files-prod/ed/picture/qq42ngme/c0270470896544351c561f0d3ab266915c801824.jpg
iPhone 14 Plus 🇨🇦🇸🇳,Neuf,iPhone,360 000,Dieuppeul Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/724843d6ecb012544c31b2157d645e73/-/horizon-files-prod/ed/picture/qj4q9dnv/cad61ca46f2c88fc9a47d1d7c422b89548835bde.jpg
Xr 64G 115mille,Neuf,iPhone,115 000,Gueule-Tapée Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d3f7bc1b0826718070a6989990780500/-/horizon-files-prod/ed/picture/q8v4nk56/62459291603f0f07c0c14511b8343202a98e1b40.jpg
13simple 128G,Neuf,iPhone,"255 000

270 000

Économisez5.6%",Gueule-Tapée Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/784b15d3afd8e26c0b64615e23494779/-/horizon-files-prod/ed/picture/q78w9xwm/d02aa02e798e6ecca7fc66a3e7305d06074c24b0.jpg
Xiaomi redmi A3X neuf 128go ram 4go,Neuf,Xiaomi,57 000,Patte d‘oie Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/02da48bcd7918058f017b3aed819db7b/-/horizon-files-prod/ed/picture/q44n2nn5/43e6b2fa2cc6870b394c44c371690afd97967a73.jpg
Telephone Panasonic KX-TG1612 double cabine,Neuf,Panasonic,48 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/269da5b2b36d2178336dc0473008c040/-/horizon-files-prod/ed/picture/qq47jegk/f92e360a9789509bec2e12d157ca15c8702a26aa.jpg
Samsung a14,Neuf,Samsung,75 000,Pikine Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ee9121f4f3f11c579b0d5f3a13caaa7b/-/horizon-files-prod/ed/picture/q56dngj2/8f683ff6d6fc17caace03a107119e5e413f58958.jpg
Redmi 13c,Neuf,Xiaomi,70 000,Pikine Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/553198dd29dd27ee8bd4a665ac10f256/-/horizon-files-prod/ed/picture/q2j0vg6d/643a80f7bbdf5081d4abe0bbd5494266119ba0d5.jpg
Redmi Xiaomi A3X 64gb original,Neuf,Xiaomi,49 900,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a3c46f89849b7c29279dd096b7380304/-/horizon-files-prod/ed/picture/q9mjzg8v/5c9df7114ae054d0404df0f45efecf053518364b.png
"Samsung Galaxy A06 (4GB RAM, 64GB ROM)",Neuf,Samsung,58 000,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9e3b72c2cd6d6ddd177ade50c85ee1db/-/horizon-files-prod/ed/picture/qwepk4md/d2886b3704bfc27b5361716d590e0ee8221363f8.jpg
Samsung A16 (128+4),Neuf,Samsung,95 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/06e0f4b084fdeaa48eed6215de1d315c/-/horizon-files-prod/ed/picture/qj4qgxdr/1847324d23a13d8c2124b4fe03ba3d5fbb6fbb94.jpg
Huawei p30 pro 128go ram 8go,Neuf,Samsung,129 900,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fa892ccbe71ba7967f8c7c389a2eed00/-/horizon-files-prod/ed/picture/q78wq0jg/3c3bb2d7fc6311ab95bac390266ae4569c47a455.jpg
Xiaomi redmi note 13 neuf 512go ram 8go,Neuf,Xiaomi,125 000,Patte d‘oie Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/55b7565589d6c43e8a842f215fe49bf1/-/horizon-files-prod/ed/picture/q2j0599e/5e32d7f05fe97128b076b0cbf44feed0c0374c06.jpg
Samsung galaxy A16 neuf 128go ram 4go,Neuf,Samsung,95 000,Patte d‘oie Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/165edc774be0957c82805516a11db135/-/horizon-files-prod/ed/picture/qj4qdqjv/feb0225bfe3813db53814c3b14078accd796b842.jpg
Samsung galaxy A25 neuf scellé 5g,Neuf,Samsung,125 000,Patte d‘oie Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6463042942a0c2c5e633546381e45fa5/-/horizon-files-prod/ed/picture/q8v4k7qn/cb3f54c0cd48d21531944f3bf9c676c079895f43.jpg
Galaxy s24 ultra 2sim neuf selles,Neuf,Samsung,610 000,Sicap Liberté Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/efa24799db76a093f19567cba8e0a9cc/-/horizon-files-prod/ed/picture/qxjpmwm8/f8a51dde13cd747b40c56de8dff9ae585514e61d.jpg
14 simple 128G,Neuf,iPhone,340 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/87af8f0fa803eaaa60a6f12115ad8e3f/-/horizon-files-prod/ed/picture/q2j0v80g/f61014577e7dcfc479426df112a2ab552d59673c.jpg
IPhone XR 64 giga et 128,Neuf,iPhone,115 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2d0a86112cf5767944c65c5d7a8174b2/-/horizon-files-prod/ed/picture/q0vwm5x/61b925af2371290b3e7438894e84ec8fc7d996f2.jpg
IPhone 11 simple 64 et 128 giga,Neuf,iPhone,137 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/66e62fd9d0f8547afbfaa8522c842399/-/horizon-files-prod/ed/picture/q5knggn/cc4648b7e1f1ab532efceabda90bdf400f2b0526.jpg
iPhone 15 pro Max 256 giga,Neuf,iPhone,735 000,Dieuppeul Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ecaecc055dd16dbc45ab5be84d789a18/-/horizon-files-prod/ed/picture/q9mjjz07/3174c14e8cd260054538010e39771cb13e9b7b3a.jpg
IPHONE 12 pro max,Neuf,iPhone,271 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/66735310eb52e63f66ac4074ba58a004/-/horizon-files-prod/ed/picture/qq47r9q4/23740140a9401ca2d93cbeac84fb9c481867bada.jpg
iPhone 16 pro Max et 16 simple,Neuf,iPhone,630 000,Dieuppeul Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/468502580c4d832e9bf08d6853a199d6/-/horizon-files-prod/ed/picture/q44nr259/94707c7fe93f843b3ec057d9d874df507014546a.jpg
IPhone 13 simple 128 Giga,Neuf,iPhone,245 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/331d690a418fbab93ff06414cfeca7e5/-/horizon-files-prod/ed/picture/qkng9q5/8f4cf8bb8d60ed01b995bfdc044453a0cf6be671.jpg
iPhone 16pro Max sim physique,Neuf,iPhone,820 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ad042360618ad625890b26623c0c6100/-/horizon-files-prod/ed/picture/qzvpk8nr/e36d75f3348bf7f992f1ea6dfe44307307d5dbd2.jpg
Samsung Galaxy Fold 6,Neuf,Samsung,800 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d60e8afbb71f5eabe0338095d714c428/-/horizon-files-prod/ed/picture/qj4qg684/57143642bd77275bdeee81f8e6d945ea9f766dde.jpg
Huawei Mate X6,Neuf,Huawei,1 200 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/845bc222b4227b74411cfab22241260b/-/horizon-files-prod/ed/picture/qq42nz0n/503cce1b7f11cd490b3b63488ea63046a4be8350.jpg
Huawei p30 pro 256go neuf scellé,Neuf,Huawei,149 900,Parcelles Assainies Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/891d1bf9fb2e296aaf27c924abde6a1e/-/horizon-files-prod/ed/picture/q6xdwq9p/7683712625c1b7da44c30cc365606b4256a20cf0.jpg
iPhone 16,Neuf,iPhone,600 000,Yoff Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/112348f6925800dafaf63500c43ee354/-/horizon-files-prod/ed/picture/q56dnpz2/345f94701825afb156e2965c5fda3fc8c8c03dd8.jpg
Google Pixel 7a 128GB scellé,Neuf,Google,210 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5842bc95f17e1bef223ab2a49edaba3d/-/horizon-files-prod/ed/picture/qj4q9q9z/74f7cc903a60ac8dd25f260f3554dddb62694159.jpg
Pixel 8a 128GB,Neuf,Google,249 900,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0727ad589e9fa1f4a04ae3f96c7a790f/-/horizon-files-prod/ed/picture/qgqwrm9e/591b642976099749d7cee2c1e96c77de700dc18e.jpg
15 Simple 128GB Sim,Neuf,iPhone,420 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6961c749caea68aaad4e1960bb3c373d/-/horizon-files-prod/ed/picture/qenvz2x6/df8a59b89aeb20f373d7ef521b4339824752fe50.jpg
Huawei Mate X6 SCELLÉ,Neuf,Huawei,1 285 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a848d477e95e98defc3893b26d4593df/-/horizon-files-prod/ed/picture/qv4wrw2j/3f4fb67646a0319c5594f8fe369ca47b5be7303d.jpg
Huawei Mate X6 512go dual SIM 5G,Neuf,Huawei,1 250 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5503afdcf28120246718bbc1d65a8f40/-/horizon-files-prod/ed/picture/qpdm9mzj/5f0ba2ff342a6f223dc6d54fc924c8d1585ce147.jpg
VENTE FLASH IPHONE 16 PRO MAX 256GB,Neuf,iPhone,800 000,Yoff Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1419813d90c593634738494fe0605f95/-/horizon-files-prod/ed/picture/qngp8r6e/e93c9431e9b697167a01572f66378d5806f02376.jpg
