details,etat,marque,prix,adresse,image_lien
Samsung A04e avec technologie HD+ / 32Go Ram 3Go,Neuf,Samsung,47 500,Castor Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/96563175204ba702807324e026bfa746/-/horizon-files-prod/ed/picture/qrzvnd68/cb34c045908966a783c23e34b1970f8777273033.jpg
"Coque iPhone en fibre de carbone, antichoc",Neuf,iPhone,5 000,Castor Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1a691cb450c3156a6195d4927e5c8410/-/horizon-files-prod/ed/picture/qxjpkdew/d2744846384052c95d47388eedca8f319aaef847.jpg
16Pro max,Neuf,iPhone,830 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8182a68d5676a279f6b902ef0c4fcf3d/-/horizon-files-prod/ed/picture/q6xdwenp/3b0ed457eecb3021cea988ca826abb34cebeec19.jpg
Iphone 15 Pro,Neuf,iPhone,699 975,Point-e Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/23b2ded6a4ee564cf2c31e70e009f021/-/horizon-files-prod/ed/picture/qgqw49qk/e07713109966da174a01164e6578af02fecf7470.jpg
Samsung a05 64GB,Neuf,Samsung,50 000,Castor Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aeb4ed26a15fbc81f5d1ceaa2ffb6ab8/-/horizon-files-prod/ed/picture/qxjpxk8m/ec03e94b20ff48d5a3eecf36885175309a84119f.jpg
Samsung a16 128gb r4,Neuf,Samsung,90 000,Castor Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c5cde8da4646d39bab228746b5107ebe/-/horizon-files-prod/ed/picture/q78wdn95/8d045ffe34eb44d973d5b141aac706b2c479c79f.jpg
Huawei mate x6,Neuf,Huawei,980 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/18dfa21ff929dc301e0ef225c6c00ce9/-/horizon-files-prod/ed/picture/qpdme8np/d3f91a1aff2017ee850994e4ae33b815c5aac688.jpg
16 promax 256 go,Neuf,iPhone,820 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/853ebbbb71b2ea0d3e7da09e2756aa05/-/horizon-files-prod/ed/picture/qngpk5wv/1797fc57478898e461d2fd9d1340b7e5ef84c01b.jpg
Téléphone fixe sans fil Panasonic,Neuf,Panasonic,35 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aa3e1795a58da8b388b674e5e396ab7f/-/horizon-files-prod/ed/picture/qj4r8ezv/cec5dbb00b61581af322917f79d9187181eb060e.jpg
Apple Watch SE 2023,Neuf,iPhone,145 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f6724c330207b9e9d53fe34c75ec3b37/-/horizon-files-prod/ed/picture/qngpewpz/3db79b4812dffe942034ff45b52e562dba1dd3f2.jpg
13 promax  128 go,Neuf,iPhone,345 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4cd0d73cabfcfc38ef9062a27c600b77/-/horizon-files-prod/ed/picture/qrz8zpgm/c89dc0d20a087d6361612d35f5d77af4e1be2bd1.jpg
SAMSUNG A40,Neuf,Samsung,50 000,Dieuppeul Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9d9b433648cdab3903d2c8ed79c5dff3/-/horizon-files-prod/ed/picture/qv4wjwp2/ca6f69f24264af275f74e3c3a39b78af1c2d8003.jpg
Samsung GALAXY S7,Neuf,Samsung,40 000,Dieuppeul Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b8992c39af256a2dd73e0a120e151cd2/-/horizon-files-prod/ed/picture/q56dkdxn/e67a024327b372d1caad190023d6f8e0c2e49cf7.jpg
iPhone 11 Pro,Neuf,iPhone,180 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/348ad1b62f72fa450c8f0264bb1e18b0/-/horizon-files-prod/ed/picture/qm5gej9g/e563708b083a8767a7d3db6acdfbf582d7a01433.jpg
12 simple,Neuf,iPhone,160 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fa2ed731cb7f041363a8188409a69185/-/horizon-files-prod/ed/picture/qxjpvke2/cc49dc8f117f4fee93124931f795deaeee0f74fb.jpg
iPhone 14 plus,Neuf,iPhone,320 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2606f83f3759219afac25ee6a214f055/-/horizon-files-prod/ed/picture/qpdmejjv/ccd433b999fe829786ab60ed92b1394a0fcaac59.jpg
Xiaomi redmi 13C neuf 256go ram 8go,Neuf,Xiaomi,70 000,Patte d‘oie Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cc37eb948e84097b32ce8dd62fbaa2db/-/horizon-files-prod/ed/picture/qq42rw5j/27a74d2a33af7249fb436878b8ce13a309073303.jpg
"Tecno Pop 9 – Smartphone 128Go RAM 3Go, Écran 6,6 pouces",Neuf,Tecno,56 500,Castor Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/17e9dae3f8ad350165fe17923523ce79/-/horizon-files-prod/ed/picture/q56d0zv7/43d8befac5999dac379094b00b98f101805885a5.jpg
"Infinix HOT 40i - 256Go - RAM 16(8+8)Go - 6.56"" – 5000mAh",Neuf,Infinix,80 000,Castor Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/91e145777050ccd24db9c7e0268101b1/-/horizon-files-prod/ed/picture/qq42g7dj/83f172ff5f7235d2a65e9d0881cbc2398e977ddc.jpg
Tecno POP 8 _ 64gb RAM 3 meilleur prix,Neuf,Tecno,52 500,Castor Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ba8226e02bdcb4295a9eee0c237d5c6d/-/horizon-files-prod/ed/picture/qq47x0v7/9ba3c4b4caf802f93008976fe2e8085421d8d19a.jpg
Samsung galaxy A55 128giga,Neuf,Samsung,179 900,Castor Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6ecd30d89ba6ebb764395cc217ba0f04/-/horizon-files-prod/ed/picture/q8v496j4/d56539fe15c4db2c578fe9fdcf06c6f6d8f8966f.jpg
Samsung Fold 4 256GB,Neuf,Samsung,420 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0ad9d27a7dfb8810ae88cf84396e7cc1/-/horizon-files-prod/ed/picture/qj4qexq6/038d7409a2534284471463cefa6c45598df2b751.jpg
Samsung Fold 3 256GB,Neuf,Samsung,335 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d50b249ac88e09353478aabcddeeda96/-/horizon-files-prod/ed/picture/qrz8ej82/54831909eb59f74b0ce093049cc823da8b0af5c8.jpg
